id,question,answer
276,В каком певце скрываются вопли добрых волшебниц,Орфей
277,Кто придумал дорожные чеки?,Роберт Кук
278,Какой показатель для воды при 20°С равен 81?,Диэлектрическая проницаемость
279,"Кто был ведущим ""Битвы экстрасенсов"" до Марата Башарова?",Михаил Пореченков
280,Что дают в магазине на новый утюг?,гарантию
281,Что должно быть в буриме?,рифма
282,Когда в СССР было отменено раздельное обучение мальчиков и девочек?,в 1954 году
283,В какой комнате проживает Мойдодыр?,Спальня
284,В каком городе находится основная база ВМС ЮАР?,Саймонстаун
285,"Какого цвета, по словам Рошфора, была лошадь д'Артаньяна?",ярко-желтого
286,Сколько колес у мотоцикла с коляской?,3
287,Какая лунная низменность находится на обратной стороне Луны?,море москвы
288,Кто из спортсменов порой прибегает к «обезьяньей игре»?,шахматы
289,Чьё изобретение стало прообразом детали обыкновенной ручной мясорубки?,архимед
290,Какой неметалл встречается в природе в самородном виде?,сера
291,Какая картина получила шутливое прозвище «Рембрандт на вынос»?,«Портрет Якоба де Гейна ІІІ
292,Какой шведский хоккейный клуб прервал 13-летнюю победную серию московского ЦСКА в Кубке Европы?,«Юргорден»
293,"Как, согласно этикету, нужно есть хинкали?",руками
294,Какая птица в геральдике является символом бдительности?,журавль
295,Как назывался третий круг ада Данте из Божественной комедии?,чревоугодие
296,Какая политическая партия ЮАР представляет в основном этнических зулу?,инката
297,Какое минимальное число игроков команды на футбольном поле допустимо при продолжении игры?,7
298,Когда появился первый компьютер?,В 1938 году
299,Какое хождение описано в известном романе Алексея Толстого?,По мукам
300,"Какое звание получил Гринёв в Белогородской крепости в ,,Капитанской дочке,,?",Прапорщик
301,В какой лиге играет ЦСКА?,"Лига чемпионов УЕФА, Кубок России по футболу, Российская Премьер-Лига"
302,Какие национальности в США?,"американцы США, немцы, шведы"
303,Какой пост занимает Матвиенко?,Председатель верхней палаты парламента
304,Кто участвовал в 1 мировой войне?,"США, Канада, Османская империя, Австралия, Австро-Венгрия, Бразилия, Бельгия, Британская империя, Таиланд, Германская империя, Финляндия, Российская империя, Горская республика, Герцогство Курляндское и Земгальское, Российская республика, Третья Французская республика, Украинская народная республика, Грузинская демократическая республика, Королевство Литва, Кубанская народная республика, Японская империя, Китайская Республика, Королевство Италия, Южно-Африканский союз, Королевство Венгрия, Королевство Румыния, Королевство Сербия, Белорусская народная республика, Третье Болгарское царство, Азербайджанская Демократическая Республика, Королевство Черногория, Джебель-Шаммар, Хиджаз, Государство дервишей, Украинская держава, Первая Португальская республика, Ньюфаундленд, Балтийское герцогство, Крымское краевое правительство, Всевеликое войско Донское, Дарфурский султанат, Доминион Новая Зеландия, Королевство Греция, Королевство Польское"
305,На каком озере находится Валаам?,Ладожского озера
306,Притоком какой реки является Намана?,Лены
307,В какой лиге играет Анжи?,Российская Премьер-Лига
308,В какой части света находится Люксембург?,в Западной Европе
309,Где находится штаб-квартира Интерпола?,Лион
310,Какой архитектурный стиль здания МГУ?,"Сталинский ампир, Нарышкинский стиль"
311,Кто дочь Алсу?,"Микелла Абрамова, Сафина Яновна Абрамова"
312,Столица какой страны Люксембург?,Люксембург
313,В каких лигах играет Барселона?,"Лига чемпионов УЕФА, Ла Лига, Лига Испании по футболу"
314,В какой стране живут герои сказки Маугли?,Индии
315,Где погребен Микеланджело?,Санта-Кроче
316,Где родилась Цветаева?,Москва
317,Где учился Ломоносов?,"Марбургский университет, Санкт-Петербургский государственный университет, Славяно-Греко-Латинская академия,Национальный университет «Киево-Могилянская академия"
318,За какую команду играет Акинфеев?,ЦСКА
319,К какому жанру относится игра Far Cry New Dawn?,шутер от первого лица
320,Какие группы исполняли песни к фильму Брат?,Nautilus Pompilius
321,Какие платформы поддерживает Роблокс?,"iOS,Mac,Xbox One,PC,и Oculus Rift"
322,Кто дочь Шойгу?,Юлия Шойгу
323,Кто написал Винни Пуха?,"Алан Александр Милн, Элизабетт Гноун"
324,Кто основал компанию Форд?,Генри Форд
325,Кто режиссер сериала Сваты?,"Андрей Яковлев, Эдуард Радзюкевич, Владимир Зеленский"
326,Кто отец Дмитрия Борисова?,"Бак, Дмитрий Петрович"
327,Кто участвовал в Ледовом побоище?,"Тевтонский орден, Новгородская республика, Дания"
328,На каких платформах выйдет Death Stranding?,"PlayStation 4, Windows"
329,В какой части света находится Турция?,Европа
330,На каком озере стоят деревянные церкви острова Кижи?,Онежское озеро
331,С кем в браке Настя Каменских?,Потап
332,В какой команде играет Месси?,Барселона
333,В какой стране основана компания Samsung?,Южная Корея
334,В какой команде играет Роналдо?,Ювентус
335,Где похоронен Калашников Михаил Тимофеевич?,Федеральное военное мемориальное кладбище
336,Где родилась Юлия Началова?,Воронеж
337,За кого играет Неймар?,Пари Сен-Жермен
338,Из какой династии был Иван Грозный?,Рюриковичи
339,К какому направлению относят произведения Макса Бекмана?,"новая вещественность, экспрессионизм"
340,Какая компания производит автомобиль Mustang?,Ford Motor Company
341,Какая компания сняла Пираты карибского моря?,"The Walt Disney Company, Jerry Bruckheimer Productions, Walt Disney Pictures, Second Mate Productions"
342,Какая столица в Венгрии?,Будапешт
343,Какой вуз окончил Александр Володин?,ВГИК
344,Какой национальности Путин Владимир Владимирович?,русский
345,Какой национальности Хабиб Нурмагомедов?,аварец
346,Какой тембр голоса у Фредди Меркьюри?,Баритон
347,Какой университет окончил Гранин?,Санкт-Петербургский Политехнический Университет Петра Великого
348,Компания разработчик Консультант Плюс?,КонсультантПлюс
349,Кто дочь Этери Тутберидзе?,Диана Дэвис
350,Кто папа Децла?,Александр Яковлевич Толмацкий
351,Кто по профессии был Иисус Христос?,плотник
352,Кто является автором песни про царя Ивана Васильевича молодого опричника и удалого купца Калашникова?,Лермонтов Михаил
353,Куда впадает река Амазонка?,Атлантический океан
354,Куда впадает река Нева?,"Финский залив, Невская губа"
355,Куда впадает река Нил?,Средиземное море
356,Куда впадает река Обь?,"Обская губа, Карское море"
357,На каких островах находится Гонолулу?,Оаху
358,На какой позиции играет Месси?,Нападающий
359,На какой реке стоит Хабаровск?,Амур
360,На каком кладбище похоронен Децл?,"Пятницкое кладбище, Москва"
361,На чем играл Ростропович?,виолончель
362,Столица какой страны город Лиссабон?,Португалия
363,Столицей какой страны является Дакар?,Сенегала
364,Столицей какой страны является Куала-Лумпур?,Малайзии
365,Чьим притоком является река Мозель?,Рейн
366,Где захоронен Борис Годунов?,"Свято-Троицкая Сергиева Лавра, Сергиев Посад"
367,К какой епархии относится Валаамский монастырь?,Выборгская и Финляндская епархия
368,К какому архитектурному стилю относится Каменецкая башня?,к типу волынских
369,Какое административное деление в Польше?,"страна делится на воеводства (wojewodztwo), воеводства - на повяты (powiat), повяты - на гмины (gmina). В 1999 году введено новое административное деление. Теперь в Польше 16 воеводств, ~300 повятов, и 2489 гмин"
370,Какое административное устройство Китая?,"В конституции КНР предусмотрено трёхступенчатое административное деление: провинция, уезд (город), волость (поселок). Однако в реальности существуют ещё два уровня: округ (между провинцией и уездом) и деревня (ниже волости)"
371,Какое административное устройство США?,федерация
372,Какой титул у Атоса?,Королева-консорт
373,Кто изготавливает айфоны?,Китай
374,Кто брат Селены?,Эос
375,От чего скончался Кит Флинт?,Самоубийство
376,Чей фильм Чернобыль 2019?,Производство США и Великобритании
377,Что окончил Тургенев?,Петербургский университет
378,Чьим притоком является Нижняя Тунгуска?,р. Кочечум
379,Где гробница Мухаммеда?,"Зелёный купол, Медина, Саудовская Аравия"
380,Где играет Ковальчук?,Черноморец
381,Какая киностудия снимает фильмы Марвел?,"Marvel Studios, LLC"
382,Какая причина смерти Веры Глаголевой?,рак желудка
383,Какое административное устройство Испании?,автономное сообщество
384,Какой медалью был награжден Дмитрий Ларин?,Золотая звезда
385,Какую премию получил Бунин?,Нобелевской премии
386,Кто основал компанию Фольксваген?,Германский трудовой фронт
387,Кто проектировал американскую статую Свободы?,"Фредерик Огюст Бартольди, Ричард Моррис Хант"
388,Кто режиссер фильма Изгой?,Роберт Земекис
389,Кто режиссер фильма Один дома?,Крис Коламбус
390,Кто сочинил гимн России?,Сергей Владимирович Михалков
391,Чьим притоком является Псекупс?,Реки Кубань
392,В какой стране зародился танец танго?,Аргентина
393,В каком жанре работал Исаак Оливер придворный художник Анны Датской?,Портрет
394,В каком море находится Мальта?,Средиземного моря
395,Где учился Лермонтов?,Московский государственный университет имени М.В.Ломоносова
396,Кто написал песню День Победы?,"Давид Фёдорович Тухманов, Владимир Гаврилович Харитонов"
397,В каком государстве находится самый первый университет в мире?,Болонский университет в Италии
398,В каком жанре работал римский поэт Марциал?,Эпиграмма
399,Кто сочинил симфонию Героическую?,Бетховен
400,На каком континенте находится Марокко?,Африка
401,Чьё имя носит Московская государственная консерватория?,П. И. Чайковского
402,В каком городе живут герои сериала Друзья?,Нью-Йорке
403,В каком стиле построен Большой театр в Москве?,Неоклассическая архитектура
404,В каком стиле построен Казанский Собор Санкт-Петербурга?,Ампир
405,В каком стиле строил Гауди?,Модерн
406,В каком стиле строил Джакомо Кваренги?,Классицизм
407,Где была сформирована 272 стрелковая дивизия?,в районе Тихвина
408,Какая платформа у айфона?,iOS
409,Какой вуз окончил Зеленский?,Криворожский экономический институт Киевского национального экономического университета
410,Какой город столица штата Калифорния?,Сакраменто
411,Какой город является столицей республики Карелия?,Петрозаводск
412,Компания разработчик Opera?,Opera Software
413,Кто была мать Пушкина?,Надежда Осиповна Пушкина
414,Кто написал песнь О вещем Олеге?,Александр Сергеевич Пушкин
415,Кто написал песню Кукушка?,Виктор Цой
416,Кто сочинил симфонию Юпитер?,Вольфганг Амодей Моцарт
417,На какой реке находится водопад Виктория?,Замбези
418,Где находится могила Герцена?,Кладбище дю Шато
419,В какой стране исповедуют синтоизм?,Япония
420,Кто победитель чемпионата мира по шахматам 2006 года?,Владимир Крамник
421,Количество сезонов Игры престолов?,8
422,Количество сезонов Отчаянные домохозяйки?,8
423,Сколько сезонов сериала Рассказ служанки?,3
424,Какое число серий в Сказочный патруль?,42 (планируется 78)
425,Сколько весит Нурмагомедов?,70
426,Когда изобретен электрогенератор?,между 1853 и 1856 годами
427,Сколько сезонов в сериале Знахарь?,2
428,В каком году изобретен велосипед?,В 1817 году
429,В каком году основан Ижевск?,1760 г
430,В каком году родился Сталин?,1878
431,Какова площадь Антарктиды?,14 000 000 км²
432,Когда был создан Youtube?,14 февраля 2005
433,Когда родился Есенин?,3 октября 1895 г
434,Сколько сезонов в Интернах?,14
435,Сколько сезонов в сериале Солдаты?,Солдаты (17)
436,Какая химическая формула у глюкозы?,C₆H₁₂O₆
437,В каком году был выпущен фильм Титаник?,18 ноября 1997 г
438,В каком году был образован Международный олимпийский комитет?,23 июня 1894 г
439,В каком году был образован СССР?,30 декабря 1922 г
440,В каком году введена в эксплуатацию железная дорога сообщением Санкт-Петербург Москва?,1851
441,В каком году образована Новороссийская губерния?,1764
442,В каком году родилась Алла Пугачева?,15 апреля 1949
443,В каком году выпущен фильм Вокзал для двоих?,1982
444,В каком году вышел фильм Москва слезам не верит?,1979
445,В каком месяце произошел развал Советского Союза?,8 декабря 1991 года
446,Когда было построено первое метро?,10 января 1863 года
447,Когда введен в действие Кодекс торгового мореплавания РФ?,30.04.1999
448,Когда родился Пушкин?,26 мая (6 июня) 1799 г
449,Когда учреждено звание Героя Социалистического Труда?,27 декабря 1938
450,Какова высота горы Джомолунгма?,8848 м
451,При какой температуре плавится железо?,1 538°C
452,В каком году был выпущен первый iphone?,9 января 2007 года
453,В каком году был образован КГБ?,13 марта 1954 г
454,В каком году был основан Московский университет?,25 января 1755 г
455,В каком году был основан Ярославль?,1010 г
456,В каком году был учрежден Интерпол?,7 сентября 1923
457,В каком году был учреждён Русский театр для представления трагедий и комедий?,30 августа (10 сентября) 1756
458,В каком году была учреждена Нобелевская премия?,в 1969 году
459,В каком году были учреждены зимние олимпийские игры?,В 1924 году
460,В каком году было образовано Федеральное казначейство РФ?,1992
461,В каком году завершилась Реконкиста?,в 1492 году
462,В каком году заложен Летний сад?,в 1704 году
463,В каком году образован Европейский комитет по стандартизации CEN?,1961 г
464,В каком году образована баскетбольная ассоциация (NBA)?,1946
465,В каком году образована Калининградская область?,1946
466,В каком году образована Кубанская область?,1918
467,В каком году образована Международная федерация гимнастики FIG?,1881
468,В каком году образовано МЧС?,23 сентября 1994 г
469,В каком году окончилась Русско-японская война?,23 августа 1905
470,В каком году основан город Владимир?,990 г. от Рождества Христова
471,В каком году основан Гугл?,4 сентября 1998 г
472,В каком году основана компания Apple?,1976
473,В каком году произошел Августовский путч?,21 августа 1991 г
474,В каком году произошел Карибский кризис?,16 октября 1962 г
475,В каком году родилась Людмила Гурченко?,1935
476,В каком году родилась Мэрилин Монро?,1 июня 1926 г
477,В каком году родилась Тамара Синявская?,1943
478,В каком году родился Гершвин?,26 сентября 1898 г
479,В каком году родился Чайковский?,1840
480,В каком году вышел фильм Бриллиантовая рука?,1968
481,В каком году умер Брежнев?,10 ноября 1982 г
482,В каком году учрежден орден Родительская слава?,13 мая 2008 года
483,В каком году учреждена медаль За оборону Сталинграда?,22 декабря 1942 года
484,В каком году учреждена медаль За отвагу на пожаре?,31 октября 1957 года
485,В каком году учреждена Международная федерация бадминтона?,в 1934
486,Когда был выпущен айфон 8?,12 сентября 2017 года
487,Когда был образован Коми-Пермяцкий автономный округ?,1925
488,Когда был образован Международный паралимпийский комитет?,22 сентября 1989 г
489,Когда был основан Питер?,27 мая 1703
490,Когда был учрежден орден Ленина?,6 апреля 1930
491,Когда появился rambler.ru?,1996
492,Когда была учреждена опричнина?,5 января 1565 году
493,Когда было образовано Временное правительство?,1917 г
494,Когда было образовано НКВД РСФСР?,10 июля 1934 г
495,Когда было подписано Мюнхенское соглашение?,1938 год
496,Когда завершились Гуситские войны?,1434 год
497,Когда заключен пакт Молотова-Риббентропа?,23 августа 1939
498,Когда образована Единая Россия?,1 декабря 2001 г
499,Когда образованы воздушно десантные войска?,2 августа 1930 года
500,Когда окончилась гражданская война в России?,25 октября 1922/16 июля 1923 года
501,Когда основаны пограничные войска?,1918 г
502,Когда произошел Брусиловский прорыв?,4 июня 1916 г
503,Когда родился Омар Хайям?,18 мая 1048 г
504,Когда убита Анна Линд?,11 сентября 2003 г
505,Какая химическая формула озона?,O3
506,Какова температура плавления ртути?,"-38,83°C"
507,Какова химическая формула строительного гипса?,CaSO4·2H2O
508,При какой температуре плавится олово?,"231,9°C"
509,В каком году было образовано Московское княжество?,1283
510,Как долго продолжался первый полет человека в космос?,108
511,Какая температура замерзания дистиллированной воды?,0
512,Какой атомный номер у кремния?,14
513,При какой температуре испаряется пропиленгликоль?,187.4
514,Как долго длилось первое российское кругосветное плавание под руководством Крузенштерна?,1096
515,Сколько дней длился штурм Кенигсберга?,4
516,Сколько лет длилась Ливонская война?,25
517,Сколько лет продолжались Гуситские войны в Чехии?,15
518,Сколько лет продолжалось восстание Пугачева?,2
519,Сколько лет продолжалось первое кругосветное плавание?,3
520,Сколько дней продолжалась оборона Севастополя?,248
521,Как официально называется Великобритания?,Соединенное королевство Великобритании и Северной Ирландии
522,Из какого количества депутатов состоит Государственная дума?,450
523,Когда закрыли Галилео?,в 2015 году
524,В каком году был опубликован императорский манифест О создании в России Государственной думы?,17 (30) октября 1905
525,В каком году появилось издательство Малыш?,1963 году
526,Какой рост у Медведева?,"1,63 м"
527,Какая дата первого релиза PUBG?,21 декабря 2017 года
528,Какая площадь у Каспийского моря?,3 626 000 км²
529,Когда впервые был упомянут город Минск?,3 марта 1067 года
530,Когда закрылся Связной банк?,2015
531,Какая глубина озера Балхаш?,"5,8 м"
532,Когда впервые показали картину Приключения принца Флоризеля?,13 января 1981 года
533,Когда издана Красная книга?,в 1963 году
534,В каком году появился ислам как религия?,В 610 году
535,Какая глубина озера Свитязь?,58 м
536,Какая дата релиза первого Сталкера?,20 марта 2007
537,Какая площадь Черного моря?,436 402 км²
538,Сколько серий в сериале Крепостная?,48
539,В каком году был основан Орден тамплиеров?,1119
540,В каком году Некрасов написал стихотворение Памяти Добролюбова?,1864
541,Какая по порядку Венера от Солнца?,2
542,Какая причина смерти Евгения Осина?,Остановка сердца
543,Какое воинское звание было у Тараса Бульбы?,Полковник
544,Кто основал компанию Supercell?,"Илкка Паананен, Микко Кодисоя, Нико Дером, Виса Форстен, Ласси Леппинен, Петри Стайрман"
545,Кто открыл ДНК?,Френсиса Крика
546,Кто супруга Сергея Лазарева?,Анна Белодедова супруга  Сергея Лазарева
547,Кто победитель International 2019?,OG
548,Кто принимал участие в Потсдамской конференции?,"У. Черчилль, Г. Трумэн, И. В. Сталин"
549,Что изображено на 100 рублевой купюре России?,"панорама столичной Театральной площади, квадрига Аполлона на здании Большого театра"
550,Что исповедуют калмыки?,"буддизм тибетской школы Гелуг;православие, мусульмане"
551,В какой стране зародился архитектурный стиль ампир?,Франция
552,К какому художественному направлению относится поэма Мцыри?,романтизма
553,На каких островах находится Новая Зеландия?,"Южный, Северный"
554,На каком озере стоит Петрозаводск?,Онежское озеро
555,Где был создан кубик Рубика?,Будапешт
556,Где была сформирована 316-я панфиловская дивизия?,в Алма-Ате
557,Где проживает австралоидная раса?,Австралия
558,Где происходит разрушение эритроцитов?,в печени и селезёнке
559,В каком году прекратили производить ВАЗ 2114?,2013
560,В каких битвах участвовал Дмитрий Донской?,"Битва на реке Воже  1378 г,  Куликовская битва 1380 г"
561,Когда был учрежден Правительствующий сенат?,22.02.1711
562,В каком году издан Детский альбом Чайковского?,1878
563,Как звали мать Андрея Сахарова?,Екатерина Алексеевна Сахарова
564,Кто была мать Циолковского?,Мария Ивановна Юмашева
565,Кто была мать Ивана Бунина?,Людмила Александровна Чубарова
566,Какой архитектурный стиль у здания Венского музея естествознания?,историзм
567,В каком стиле построено здание Национальной библиотеки в Минске?,конструктивизм
568,В каком стиле построено здание Египетского национального музея?,неоклассический бозар
569,В каком стиле построен Дом художников в Вене?,итальянское возрождение
570,Какой по счёту планетой от Солнца является Уран?,7
571,Какая по счету планета от Солнца Меркурий?,1
572,Кем был основан город Томск?,"Гаврила Писемский, Высилий Тырков"
573,Кто основал город Берн в Швейцарии?,Бертольд V
574,Кто является основателем Хабаровска?,Яков Васильевич Дьяченко
575,Кто является основателем города Сызрань?,Григорий Афанасьевич Козловский
576,Как зовут отца Витаса?,Владас Аркадьевич Грачёв
577,Как звали отца поэта Иосифа Бродского?,Александр Иванович Бродский
578,На какой реке находится город Сыктывкар?,Северная Двина
579,На берегу какого залива расположен Дубай?,Персидский залив
580,Кто дизайнеры Bugatti Chiron?,"Ахим Аншайдт, Александр Селипанов, Фрэнк Хейл, Этьен Саломе"
